CASE_SEQUENCE,WARD,CREATION_MONTH,N_POTHOLES_FILLED_ON_BLOCK,N_DAYS_FOR_COMPLETION,LATITUDE,LONGITUDE
3336,22,1,3,0,41.802204412,-87.74560574
3337,14,1,3,0,41.798285423,-87.75009196
3338,39,1,5,0,41.990244186,-87.72871439
3339,22,1,10,0,41.805484434,-87.75151321
3340,4,1,3,0,41.799658602,-87.58849961
3341,3,1,2,0,41.809256591,-87.61766628
3342,15,1,12,0,41.808745796,-87.66259697
3343,15,1,5,0,41.808777793,-87.66016878
3344,36,1,2,0,41.945895179,-87.77524777
3345,38,1,3,0,41.945634333,-87.79361344
3346,38,1,1,0,41.945414907,-87.79360426
3347,38,1,2,0,41.945680113,-87.79123537
3348,38,1,2,0,41.945539044,-87.79847728
3349,38,1,1,0,41.94550237,-87.80042092
3350,13,1,49,0,41.771557757,-87.7177987
3351,38,1,3,0,41.94558764,-87.79605171
3352,13,1,5,0,41.771519453,-87.72025022
3353,38,1,1,0,41.945326592,-87.79803657
3354,13,1,13,0,41.771594936,-87.71534929
3355,50,1,8,1,42.012071408,-87.70457584
3356,12,1,14,1,41.831033664,-87.67683098
3357,25,1,1,1,41.838023796,-87.66755473
3358,47,1,4,1,41.95042134,-87.68850982
3359,11,1,2,1,41.823304458,-87.66172287
3360,15,1,1,1,41.808696947,-87.66679128
3361,14,1,10,1,41.801257492,-87.68428112
3362,12,1,14,1,41.808542113,-87.68208382
3363,12,1,18,1,41.808565287,-87.6799378
3364,25,1,5,1,41.841110175,-87.68542554
3365,47,1,27,1,41.960738157,-87.68881141
3366,47,1,3,1,41.959100433,-87.68239224
3367,35,1,9,1,41.929855075,-87.70892593
3368,35,1,34,1,41.93078709,-87.70998753
3369,47,1,2,1,41.965631935,-87.68866466
3370,35,1,1,1,41.932489668,-87.71705924
3371,35,1,6,1,41.9247283,-87.71583395
3372,25,1,22,1,41.844930177,-87.68563306
3373,12,1,12,1,41.82248253,-87.70431415
3374,35,1,37,1,41.939440561,-87.70771852
3375,13,1,2,0,41.792229004,-87.78204567
3376,27,1,6,0,41.890885673,-87.64450709
3377,34,1,3,2,41.696750928,-87.62337109
3378,34,1,8,2,41.69563422,-87.62333743
3379,34,1,9,2,41.691785769,-87.62328874
3380,34,1,14,2,41.69173132,-87.62778354
3381,15,1,3,2,41.812038598,-87.6841095
3382,15,1,61,2,41.808369549,-87.6840194
3383,15,1,31,2,41.804773508,-87.68390497
3384,15,1,12,2,41.801080204,-87.68381821
3385,15,1,37,2,41.795548906,-87.68366562
3386,38,1,1,2,41.954210948,-87.78957338
3387,38,1,2,2,41.955143772,-87.78940446
3388,38,1,1,2,41.95674193,-87.78191799
3389,38,1,1,2,41.951464075,-87.7597005
3390,38,1,10,2,41.951577939,-87.76214321
