CASE_SEQUENCE,WARD,CREATION_MONTH,N_POTHOLES_FILLED_ON_BLOCK,N_DAYS_FOR_COMPLETION,LATITUDE,LONGITUDE
1,1,12,12,1,41.928307179,-87.68197137
2,18,12,17,1,41.763366735,-87.70018975
3,18,12,40,1,41.762502707,-87.70046003
4,5,12,37,1,41.795089883,-87.58635917
5,45,12,2,0,41.949207776,-87.72809124
6,18,12,1,0,41.750308469,-87.67564359
7,5,12,6,0,41.79317453,-87.59664483
8,5,12,12,0,41.79152143,-87.59950057
9,41,12,2,0,41.981281219,-87.79388842
10,5,12,7,0,41.795310414,-87.58917028
11,5,12,8,0,41.799468663,-87.58923619
12,4,12,16,0,41.80232895,-87.59361965
13,4,12,24,0,41.80087234,-87.59358152
14,4,12,1,0,41.802348128,-87.59199819
15,4,12,6,0,41.800933113,-87.5892302
16,5,12,7,0,41.791557275,-87.59637808
17,5,12,8,0,41.795294927,-87.58752503
18,4,12,5,0,41.798521732,-87.59359687
19,27,12,26,0,41.901600325,-87.66178813
20,1,12,2,2,41.917496608,-87.68871961
21,28,12,1,2,41.85214078,-87.68591354
22,17,12,15,0,41.759241201,-87.67324364
23,17,12,10,0,41.768398166,-87.67347689
24,17,12,7,0,41.770216831,-87.67351973
25,16,12,20,0,41.772031271,-87.67356627
26,16,12,2,0,41.799380207,-87.66730697
27,36,12,5,0,41.943007158,-87.76851845
28,38,12,15,0,41.951256817,-87.77656192
29,38,12,8,0,41.950270922,-87.77652878
30,45,12,3,0,41.949204666,-87.72839004
31,7,12,32,0,41.740750784,-87.56500052
32,38,12,10,0,41.960585018,-87.76246437
33,7,12,2,0,41.746432765,-87.56290551
34,7,12,5,0,41.746262812,-87.55917374
35,7,12,9,0,41.749808516,-87.55877622
36,24,12,3,0,41.854364791,-87.69046703
37,21,12,15,2,41.742929694,-87.66704181
38,12,12,51,0,41.823463687,-87.66574345
39,14,12,3,0,41.807856045,-87.73343455
40,14,12,1,0,41.807885763,-87.73114095
41,14,12,3,0,41.807917632,-87.72854105
42,14,12,8,0,41.807742395,-87.72505038
43,45,12,15,0,41.972801149,-87.75754144
44,6,12,4,0,41.745584778,-87.61249479
45,9,12,24,0,41.723673345,-87.62336216
46,9,12,12,0,41.731033839,-87.62044628
47,9,12,9,0,41.716557678,-87.60459579
48,8,12,3,0,41.714678465,-87.60472602
49,9,12,4,0,41.714715326,-87.60501487
50,9,12,15,0,41.712833351,-87.60544258
51,9,12,6,0,41.698148101,-87.60877316
52,9,12,5,0,41.699970648,-87.60807613
53,9,12,9,0,41.710882946,-87.60588925
54,8,12,6,0,41.710845829,-87.60560049
55,8,12,5,0,41.722153939,-87.60444774
56,6,12,1,0,41.741004045,-87.60994118
57,6,12,4,0,41.754039399,-87.60908507
58,6,12,5,0,41.752272069,-87.60904548
59,6,12,2,0,41.74193693,-87.61081816
60,45,12,1,0,41.969285466,-87.75980631
61,39,12,1,1,41.975257338,-87.74784143
62,44,12,1,1,41.933987493,-87.64567386
63,44,12,6,1,41.934861458,-87.65864593
64,39,12,22,1,41.98233519,-87.75072241
65,4,12,3,1,41.838582885,-87.61339302
66,14,12,7,1,41.807822546,-87.73588487
67,9,12,12,1,41.682466129,-87.61803479
68,35,12,7,1,41.922934237,-87.72535476
69,35,12,8,1,41.922947673,-87.72413443
70,45,12,1,1,41.97114332,-87.76744204
71,6,12,4,1,41.767900224,-87.61517033
72,43,12,8,2,41.921909959,-87.64848809
73,44,12,10,2,41.948645476,-87.66299447
74,45,12,2,4,41.975571573,-87.76939225
75,6,12,10,4,41.767182065,-87.62762466
76,32,12,6,4,41.931930744,-87.7050409
77,21,12,3,0,41.748762969,-87.64169279
78,21,12,9,0,41.748745722,-87.64291128
79,21,12,1,0,41.746967268,-87.6428634
80,17,12,10,0,41.754169219,-87.64549214
81,17,12,8,0,41.750751157,-87.64410779
82,3,12,1,0,41.806580372,-87.61397796
83,34,12,1,0,41.703114705,-87.6495894
84,9,12,5,0,41.66503038,-87.63660039
85,9,12,1,0,41.665073472,-87.63562551
86,9,12,5,0,41.664137513,-87.63565523
87,34,12,19,0,41.685995935,-87.64933175
88,34,12,1,0,41.689498841,-87.65282193
89,34,12,21,0,41.688922467,-87.65093304
90,34,12,1,0,41.692224265,-87.65712292
91,34,12,15,0,41.69489133,-87.65477039
92,17,12,29,0,41.750530301,-87.64539867
93,17,12,6,0,41.750534981,-87.65865206
94,20,12,3,0,41.808527793,-87.66247034
95,3,12,11,0,41.809306778,-87.62820949
96,3,12,1,0,41.834118078,-87.62197274
97,39,12,4,0,41.973669931,-87.74068736
98,38,12,1,0,41.959559948,-87.7590062
99,47,12,1,0,41.969007257,-87.66759963
100,6,12,14,0,41.758006654,-87.64193599
101,6,12,12,0,41.759674582,-87.64442024
102,47,12,9,2,41.967983372,-87.67483683
103,1,12,5,2,41.926825423,-87.68777078
104,39,12,1,2,41.989126513,-87.74306451
105,35,12,9,2,41.921659353,-87.71514011
106,35,12,2,2,41.928900087,-87.71451589
107,17,12,6,2,41.76871353,-87.66034109
108,1,12,11,2,41.906317612,-87.6701583
109,1,12,12,2,41.894360392,-87.66150894
110,1,12,2,3,41.918997244,-87.69446109
111,1,12,14,3,41.923175987,-87.69849612
112,4,12,1,4,41.821555347,-87.61167498
113,1,12,2,4,41.901304848,-87.66758377
114,13,12,32,3,41.776462405,-87.73476049
115,13,12,16,3,41.773510053,-87.73467689
116,17,12,31,3,41.775345448,-87.69119431
117,17,12,15,3,41.770676146,-87.6908878
118,1,12,11,3,41.911127663,-87.68860476
119,34,12,20,3,41.697625174,-87.65485357
120,1,12,4,3,41.916437405,-87.69731524
121,1,12,2,3,41.917223095,-87.6980769
122,34,12,41,3,41.703099751,-87.64935122
123,34,12,40,3,41.703098638,-87.64947282
124,1,12,4,5,41.89973295,-87.66998825
125,36,12,1,0,41.931090801,-87.78583882
126,19,12,14,0,41.69703779,-87.70843964
127,19,12,10,0,41.698666682,-87.70977642
128,19,12,6,0,41.702364537,-87.70991722
129,8,12,9,0,41.753444106,-87.58329386
130,32,12,4,0,41.938017416,-87.66845439
131,32,12,1,0,41.943513532,-87.68467143
132,8,12,31,0,41.749631722,-87.59913783
133,19,12,13,0,41.70256822,-87.7061743
134,19,12,8,0,41.702468444,-87.70257569
135,19,12,4,0,41.698980045,-87.70114663
136,19,12,3,0,41.706002649,-87.70891305
137,19,12,7,0,41.70608296,-87.70146672
138,19,12,12,0,41.698777022,-87.70122561
139,19,12,31,0,41.697152588,-87.70114271
140,19,12,14,0,41.697116703,-87.70355251
141,19,12,27,0,41.696834483,-87.7085202
142,19,12,19,0,41.69703779,-87.70843964
143,20,12,4,0,41.77311568,-87.61344369
144,32,12,6,0,41.931180828,-87.70112817
145,8,12,5,0,41.749520618,-87.59072275
146,8,12,28,0,41.747697456,-87.59068058
147,10,12,9,0,41.688333137,-87.53883572
148,8,12,58,2,41.751271703,-87.59805975
149,22,12,16,2,41.842406984,-87.73295537
150,12,12,1,2,41.844410968,-87.70463641
151,25,12,7,1,41.852485072,-87.66388713
152,25,12,4,1,41.854860401,-87.67258591
153,8,12,43,1,41.740418369,-87.58807637
154,19,12,3,2,41.69941886,-87.70980244
155,20,12,10,3,41.780506307,-87.60686652
156,8,12,21,3,41.745805991,-87.59445308
157,10,12,1,4,41.701323619,-87.53030451
158,10,12,1,4,41.705608845,-87.53030599
159,10,12,1,4,41.713876283,-87.53512961
160,10,12,8,4,41.725092282,-87.5485173
161,10,12,4,4,41.730595941,-87.54836593
162,10,12,3,4,41.733385727,-87.54872693
163,10,12,1,4,41.734310058,-87.54845794
164,10,12,12,4,41.739330538,-87.54982212
165,22,12,2,4,41.836881952,-87.71818394
166,36,12,8,4,41.92197187,-87.78545204
167,10,12,7,4,41.702864697,-87.55476635
168,36,12,7,4,41.921750699,-87.78768759
169,5,12,28,0,41.773255845,-87.5889073
170,8,12,12,0,41.760566956,-87.5836772
171,8,12,2,0,41.76199317,-87.58247302
172,8,12,7,0,41.760703507,-87.58368067
173,8,12,3,0,41.760724806,-87.58347152
174,8,12,2,0,41.762326646,-87.58362971
175,7,12,2,0,41.764238679,-87.58069907
176,7,12,3,0,41.764392297,-87.58113955
177,7,12,2,0,41.764405987,-87.57987074
178,5,12,2,0,41.766301709,-87.58119755
179,5,12,3,0,41.766215343,-87.58013412
180,5,12,1,0,41.76461968,-87.57708576
181,5,12,4,0,41.764412626,-87.57927929
182,18,12,18,0,41.748280166,-87.69019773
183,18,12,1,0,41.748256925,-87.69028293
184,14,12,21,0,41.799194772,-87.6867745
185,43,12,7,0,41.921770491,-87.6583982
186,2,12,3,0,41.921747269,-87.66120627
187,2,12,1,0,41.92168114,-87.66801169
188,32,12,14,0,41.921638022,-87.66996938
189,32,12,6,0,41.921504401,-87.67782323
190,32,12,7,0,41.921585331,-87.67292779
191,32,12,9,0,41.921625235,-87.67069464
192,2,12,3,0,41.921729807,-87.6632342
193,1,12,3,0,41.903377468,-87.66764314
194,32,12,9,0,41.91430949,-87.66794803
195,32,12,9,0,41.914315408,-87.66765423
196,32,12,8,0,41.917983272,-87.66782464
197,2,12,6,0,41.919968804,-87.66823245
198,2,12,1,0,41.921589707,-87.66847923
199,32,12,1,0,41.925199752,-87.6680005
200,32,12,9,0,41.919942875,-87.66852433
201,5,12,40,1,41.787246423,-87.60554779
202,27,12,61,0,41.89434796,-87.66413142
203,37,12,13,0,41.909863573,-87.7363803
204,8,12,2,0,41.740628504,-87.58833153
205,18,12,4,0,41.740667918,-87.69942591
206,18,12,12,0,41.746176574,-87.69511589
207,18,12,4,0,41.744614053,-87.69132984
208,21,12,17,0,41.74483616,-87.66101591
209,21,12,20,0,41.745038483,-87.66093432
210,21,12,7,0,41.746639822,-87.66227587
211,21,12,15,0,41.719976031,-87.6267144
212,21,12,11,0,41.719771236,-87.62533351
213,21,12,10,0,41.719948045,-87.62868582
214,21,12,12,0,41.716214852,-87.63585645
215,21,12,5,0,41.717896785,-87.63402916
216,21,12,6,0,41.716081223,-87.63398382
217,21,12,4,0,41.716312953,-87.62867976
218,21,12,10,0,41.721532124,-87.63125601
219,5,12,1,0,41.796555913,-87.6013868
220,20,12,31,0,41.787666416,-87.60622616
221,25,12,4,2,41.866679654,-87.65652769
222,21,12,1,2,41.743051618,-87.65854303
223,1,12,21,3,41.909690038,-87.6898104
224,25,12,15,3,41.859835673,-87.64893413
225,21,12,12,3,41.75026224,-87.66358012
226,13,12,2,3,41.782926685,-87.76328922
227,13,12,1,3,41.777241145,-87.74332305
228,13,12,1,3,41.778598323,-87.73727488
229,13,12,9,3,41.776914189,-87.72521944
230,13,12,6,3,41.772483688,-87.73464933
231,13,12,4,3,41.772932954,-87.73572623
232,13,12,11,3,41.777975177,-87.73480497
233,13,12,2,3,41.777507576,-87.7302018
234,13,12,2,3,41.769480946,-87.72019789
235,13,12,37,3,41.760880543,-87.71602087
236,13,12,42,3,41.762012381,-87.71483251
237,13,12,1,3,41.761761545,-87.71289116
238,13,12,8,3,41.763746983,-87.71295253
239,13,12,2,3,41.766118063,-87.71612965
240,13,12,1,3,41.765822287,-87.72117536
241,13,12,34,3,41.766994097,-87.71837314
242,13,12,2,3,41.76706413,-87.71367653
243,13,12,3,3,41.7679203,-87.7173132
244,13,12,1,3,41.767900825,-87.71869959
245,13,12,1,3,41.767653316,-87.7205349
246,13,12,9,3,41.7694897,-87.71957249
247,13,12,7,4,41.774004382,-87.7219091
248,42,12,9,4,41.889294425,-87.62543475
249,25,12,9,4,41.85011191,-87.63663334
250,25,12,4,4,41.852520042,-87.66167016
251,14,12,4,4,41.805220498,-87.71846398
252,4,12,29,4,41.878101119,-87.62944389
253,18,12,44,5,41.744351205,-87.69506585
254,13,12,1,5,41.78202858,-87.73888425
255,18,12,13,5,41.744411397,-87.69141008
256,13,12,12,6,41.782095162,-87.73109428
257,13,12,1,6,41.782111285,-87.72961907
258,30,12,12,6,41.94628094,-87.72615624
259,18,12,11,6,41.741735637,-87.6994542
260,30,12,1,6,41.940846334,-87.7269516
261,18,12,68,6,41.735320475,-87.72979928
262,42,12,1,8,41.882368552,-87.61670373
263,18,12,12,7,41.741390489,-87.69944713
264,25,12,3,7,41.868855366,-87.6406251
265,5,12,1,7,41.793442278,-87.5911434
266,9,12,8,0,41.709640511,-87.60880941
267,9,12,4,0,41.709152439,-87.61986993
268,9,12,6,0,41.709720644,-87.61124864
269,9,12,10,0,41.711070721,-87.61380465
270,9,12,6,0,41.711031476,-87.61623761
271,9,12,1,0,41.710993196,-87.61866934
272,9,12,9,0,41.710772013,-87.61878307
273,11,12,8,0,41.85760471,-87.643636
274,9,12,28,0,41.703915063,-87.60402544
275,9,12,22,0,41.704576231,-87.60623194
276,9,12,9,0,41.705810206,-87.60381838
277,19,12,4,0,41.699315556,-87.66232333
278,19,12,10,0,41.702910775,-87.66203496
279,19,12,6,0,41.701085845,-87.66198906
280,19,12,8,0,41.704691318,-87.66898349
281,19,12,3,0,41.703017388,-87.6696368
282,19,12,14,0,41.680808834,-87.68218508
283,19,12,9,0,41.682619232,-87.68224237
284,7,12,2,0,41.744653394,-87.55990558
285,7,12,9,0,41.748035317,-87.56389399
286,7,12,12,0,41.751673412,-87.56395209
287,7,12,19,0,41.753485388,-87.56398615
288,7,12,1,0,41.75367196,-87.56499727
289,7,12,2,0,41.763006789,-87.56339467
290,7,12,1,0,41.765363414,-87.56291811
291,7,12,3,0,41.756153543,-87.55490035
292,7,12,2,0,41.753595546,-87.55568559
293,19,12,3,0,41.697392968,-87.66430989
294,19,12,1,0,41.695483138,-87.66685196
295,19,12,4,0,41.689981283,-87.67727022
296,19,12,10,0,41.688258985,-87.67683172
297,19,12,4,0,41.6843142,-87.67643485
298,19,12,7,0,41.688243477,-87.68359817
299,19,12,2,0,41.689819298,-87.6873849
300,14,12,2,0,41.822576788,-87.70459757
301,7,12,2,0,41.753535349,-87.56009518
302,7,12,22,0,41.748085515,-87.56025746
303,7,12,17,0,41.742818554,-87.56117354
304,7,12,9,0,41.742803827,-87.56238836
305,11,12,18,0,41.849021397,-87.63857885
306,41,12,7,0,41.991939123,-87.79060797
307,8,12,8,0,41.725624783,-87.60441702
308,8,12,4,0,41.712921601,-87.60512555
309,9,12,8,0,41.710886901,-87.62606043
310,9,12,10,1,41.725387878,-87.60470402
311,9,12,1,1,41.705587346,-87.60410476
312,39,12,30,1,41.992458418,-87.78020372
313,12,12,2,1,41.824084382,-87.70919491
314,12,12,9,1,41.82331245,-87.70959791
315,7,12,2,1,41.754683039,-87.5637174
316,19,12,31,1,41.681023935,-87.68124768
317,12,12,8,1,41.819667614,-87.69816276
318,12,12,3,1,41.818726145,-87.69842312
319,24,12,8,1,41.873521923,-87.71580488
320,13,12,1,1,41.769505759,-87.71850766
321,13,12,1,1,41.769750926,-87.71689978
322,13,12,7,1,41.771276133,-87.72176406
323,13,12,5,1,41.773182284,-87.72031441
324,13,12,3,1,41.775002206,-87.72036003
325,23,12,21,1,41.775041558,-87.71791061
326,13,12,4,1,41.772471682,-87.717576
327,13,12,6,1,41.773297215,-87.71317559
328,27,12,27,3,41.8696941,-87.67158181
329,27,12,10,3,41.870869455,-87.67161583
330,27,12,3,3,41.870315604,-87.67649635
331,27,12,1,3,41.880920984,-87.70069606
332,16,12,22,4,41.778397766,-87.65796871
333,9,12,7,4,41.682466129,-87.61803479
334,27,12,25,4,41.874242623,-87.70088858
335,22,12,1,4,41.849840645,-87.72456669
336,29,12,27,4,41.932702297,-87.80417988
337,27,12,12,4,41.876134371,-87.68154865
338,43,12,5,4,41.925417264,-87.65747952
339,24,12,8,4,41.859018427,-87.69553865
340,13,12,9,4,41.764073211,-87.71763991
341,13,12,5,4,41.76214025,-87.71757873
342,13,12,12,4,41.762618703,-87.71636705
343,41,12,1,4,41.99382685,-87.79060393
344,13,12,21,4,41.765232382,-87.71439292
345,27,12,31,4,41.888376317,-87.71503313
346,27,12,22,6,41.892169968,-87.64554557
347,16,12,1,6,41.785978314,-87.68641202
348,23,12,12,5,41.783327311,-87.72213742
349,23,12,9,5,41.783377462,-87.71879251
350,23,12,7,5,41.783397122,-87.71763451
351,41,12,1,5,41.995700561,-87.80441759
352,27,12,5,5,41.877033802,-87.67905616
353,29,12,1,5,41.909390566,-87.7756631
354,14,12,12,5,41.795481088,-87.68967209
355,16,12,4,5,41.775721017,-87.6810415
356,9,12,11,5,41.710501907,-87.62734357
357,7,12,5,5,41.745029413,-87.55991053
358,7,12,2,5,41.74465235,-87.55998976
359,27,12,11,7,41.888391706,-87.67208672
360,7,12,2,7,41.764202847,-87.57948769
361,29,12,1,7,41.865639054,-87.76416458
362,27,12,2,7,41.869220164,-87.66660668
363,24,12,28,6,41.868091792,-87.71318201
364,24,12,11,6,41.871711361,-87.72960165
365,27,12,1,6,41.90369472,-87.63742453
366,27,12,6,6,41.892163484,-87.64607203
367,45,12,100,6,41.969871695,-87.75013505
368,23,12,25,9,41.779491982,-87.72062113
369,27,12,1,9,41.896641228,-87.63868894
370,27,12,22,9,41.870325545,-87.66663301
371,29,12,3,8,41.873049274,-87.75546509
372,27,12,1,10,41.894564814,-87.65259128
373,27,12,7,10,41.876332859,-87.66681112
374,41,12,13,10,42.000198619,-87.79244879
375,15,12,7,0,41.775628492,-87.67274914
376,15,12,9,0,41.774089048,-87.66660247
377,8,12,10,0,41.740260236,-87.60143388
378,17,12,7,0,41.755632709,-87.67100477
379,17,12,2,0,41.752006542,-87.669692
380,17,12,3,0,41.75564694,-87.66979054
381,18,12,1,0,41.751947096,-87.67454765
382,18,12,4,0,41.750747013,-87.67543609
383,18,12,10,0,41.755790336,-87.67456443
384,18,12,17,0,41.753984698,-87.67330079
385,17,12,3,0,41.754250369,-87.67310311
386,18,12,12,0,41.757557889,-87.6734862
387,17,12,3,0,41.753999673,-87.67208698
388,17,12,2,0,41.752331756,-87.64665918
389,17,12,1,0,41.751447323,-87.64542722
390,50,12,2,0,41.99695902,-87.69000497
391,8,12,6,0,41.716530404,-87.60201084
392,8,12,9,0,41.739723957,-87.58780414
393,8,12,15,0,41.76065745,-87.59078925
394,8,12,4,0,41.762289918,-87.58982695
395,8,12,3,0,41.760465725,-87.58977632
396,8,12,14,0,41.734703169,-87.59765296
397,8,12,28,0,41.733001834,-87.59760846
398,17,12,19,0,41.755719441,-87.66371778
399,17,12,2,0,41.755703643,-87.66493262
400,17,12,1,0,41.755694491,-87.66615052
401,17,12,2,0,41.752050597,-87.66605483
402,17,12,10,0,41.777371509,-87.69097079
403,16,12,12,0,41.777514119,-87.68610086
404,10,12,11,1,41.661505157,-87.55577331
405,10,12,3,1,41.660926212,-87.55577551
406,10,12,17,1,41.66036349,-87.5569934
407,10,12,17,1,41.662530904,-87.55698808
408,13,12,3,1,41.788541269,-87.78425718
409,13,12,3,1,41.788443308,-87.79035895
410,13,12,2,1,41.788405306,-87.79280206
411,13,12,2,1,41.788384505,-87.79402393
412,14,12,2,1,41.808047272,-87.70411882
413,13,12,7,1,41.788345538,-87.79646431
414,8,12,21,1,41.741171489,-87.60040213
415,13,12,8,1,41.789407843,-87.78429205
416,13,12,3,1,41.784201636,-87.78624561
417,13,12,1,1,41.785739935,-87.78781799
418,13,12,2,1,41.791932115,-87.77798962
419,12,12,17,1,41.85004166,-87.7066608
420,24,12,1,1,41.851772995,-87.71505994
421,24,12,5,1,41.851934576,-87.72462254
422,22,12,3,1,41.805909886,-87.74316708
423,22,12,18,1,41.806778934,-87.74420744
424,22,12,30,1,41.81142797,-87.73982825
425,22,12,5,1,41.812742044,-87.74193155
426,15,12,33,1,41.775908285,-87.66673577
427,15,12,17,1,41.775858378,-87.67059438
428,25,12,1,1,41.869714098,-87.63942226
429,12,12,16,1,41.823189214,-87.66913844
430,14,12,1,1,41.807662847,-87.73141143
431,13,12,12,1,41.786688567,-87.78540977
432,20,12,9,1,41.808527793,-87.66247034
433,13,12,1,1,41.776211966,-87.7574433
434,13,12,3,1,41.777963332,-87.76431461
435,26,12,2,1,41.910079486,-87.7186923
436,10,12,2,1,41.650663177,-87.5348816
437,10,12,4,1,41.65012642,-87.53533716
438,10,12,5,1,41.650564034,-87.53851994
439,10,12,1,1,41.652442533,-87.53881524
440,10,12,5,1,41.656113514,-87.53882596
441,10,12,4,1,41.656718006,-87.54095018
442,10,12,6,1,41.65541966,-87.54123626
443,10,12,2,1,41.649367599,-87.54216688
444,10,12,23,1,41.648100793,-87.54296443
445,10,12,12,1,41.648087299,-87.54306464
446,10,12,2,1,41.650526805,-87.54856161
447,10,12,13,1,41.653080416,-87.54823762
448,10,12,1,1,41.658020045,-87.5554854
449,10,12,17,1,41.665192081,-87.55548263
450,25,12,3,3,41.874274145,-87.63957378
451,8,12,4,2,41.755128211,-87.57637807
452,8,12,17,2,41.717456567,-87.60204279
453,35,12,2,2,41.968375955,-87.72566094
454,10,12,28,2,41.655317773,-87.53882444
455,25,12,15,2,41.869589822,-87.64350851
456,2,12,3,2,41.911723561,-87.63330236
457,13,12,1,2,41.776436927,-87.74788491
458,13,12,4,2,41.77760118,-87.75699075
459,8,12,16,2,41.747916858,-87.57135924
460,25,12,18,5,41.853781771,-87.68312381
461,26,12,3,5,41.918519196,-87.71339713
462,26,12,1,5,41.908284462,-87.72661632
463,26,12,3,5,41.912608188,-87.72044623
464,11,12,6,5,41.820935136,-87.65535419
465,13,12,3,5,41.783236679,-87.76788695
466,13,12,3,5,41.780035778,-87.76776449
467,13,12,5,5,41.778314256,-87.76769893
468,13,12,4,5,41.779309883,-87.76925116
469,13,12,1,5,41.780233808,-87.7692884
470,13,12,2,5,41.781902592,-87.76905787
471,13,12,1,5,41.781759043,-87.77056813
472,13,12,7,5,41.778084436,-87.77653945
473,17,12,20,5,41.750451293,-87.66329457
474,15,12,13,4,41.798948133,-87.6837526
475,11,12,10,4,41.86175405,-87.65440955
476,26,12,1,4,41.899347851,-87.70197895
477,26,12,2,4,41.899343437,-87.70249672
478,12,12,2,7,41.832258073,-87.67885682
479,39,12,1,7,41.975257338,-87.74784143
480,2,12,8,6,41.90141004,-87.68114034
481,17,12,1,6,41.76837817,-87.67134284
482,26,12,16,8,41.897169089,-87.70211794
483,15,12,5,8,41.802948569,-87.67398531
484,26,12,4,8,41.919113384,-87.7072132
485,2,12,13,7,41.910088224,-87.6420474
486,39,12,1,7,41.967683624,-87.73651097
487,2,12,1,9,41.911002749,-87.63872831
488,39,12,1,9,41.965486548,-87.7462945
489,2,12,2,8,41.896664597,-87.62098405
490,2,12,8,8,41.909298067,-87.64323427
491,2,12,7,8,41.899796679,-87.67456987
492,26,12,2,8,41.917323476,-87.72235908
493,39,12,5,8,41.966937488,-87.73694151
494,26,12,1,8,41.909906011,-87.73307698
495,26,12,3,8,41.910224299,-87.70703651
496,26,12,2,8,41.917032337,-87.70710326
497,47,12,1,10,41.964743207,-87.6923097
498,6,12,25,0,41.76164404,-87.63350395
499,14,12,32,0,41.795666863,-87.69147678
500,14,12,8,0,41.795356779,-87.6976554
501,6,12,3,0,41.764550779,-87.63327498
502,14,12,25,0,41.795378942,-87.6964348
503,6,12,15,0,41.765302539,-87.63235621
504,6,12,12,0,41.76347885,-87.63231101
505,25,12,3,0,41.858939147,-87.64890978
506,25,12,6,0,41.859835673,-87.64893413
507,25,12,12,0,41.855176732,-87.6549158
508,25,12,10,0,41.853760617,-87.65487659
509,14,12,5,0,41.800217165,-87.74301836
510,22,12,4,0,41.800314302,-87.75157599
511,14,12,4,0,41.796814076,-87.73933984
512,14,12,30,0,41.813632783,-87.71141418
513,14,12,1,0,41.813435553,-87.71119894
514,12,12,21,0,41.835958236,-87.66823838
515,12,12,4,0,41.828794329,-87.66805975
516,12,12,3,0,41.826713355,-87.66922982
517,12,12,47,0,41.830366179,-87.66932125
518,12,12,9,0,41.832199708,-87.66936329
519,12,12,2,0,41.832197259,-87.6730301
520,14,12,7,0,41.794550679,-87.68600205
521,3,12,6,0,41.825505349,-87.62178703
522,3,12,23,0,41.81287216,-87.61983735
523,34,12,3,0,41.692286867,-87.63896941
524,34,12,3,0,41.692306074,-87.63747281
525,34,12,4,0,41.692539716,-87.63619574
526,34,12,4,0,41.685190056,-87.64227956
527,34,12,3,0,41.686814503,-87.6420593
528,34,12,19,0,41.698579308,-87.63032065
529,11,12,6,0,41.84536566,-87.64009744
530,11,12,2,0,41.844454436,-87.64007339
531,11,12,4,0,41.843543168,-87.64005037
532,11,12,4,0,41.834366963,-87.64147035
533,6,12,2,0,41.749258014,-87.62319239
534,6,12,5,0,41.74972761,-87.62436203
535,6,12,4,0,41.767109825,-87.64574569
536,6,12,3,0,41.772425824,-87.64192104
537,6,12,4,0,41.77060802,-87.64187243
538,6,12,3,0,41.772640171,-87.64103951
539,15,12,11,0,41.801115856,-87.681932
540,15,12,5,0,41.801248488,-87.68188258
541,15,12,10,0,41.800131476,-87.68354828
542,15,12,19,0,41.802985698,-87.67925758
543,14,12,12,0,41.795578083,-87.68911803
544,14,12,9,0,41.795488258,-87.69033912
545,14,12,3,0,41.797534433,-87.68908411
546,14,12,5,0,41.797574599,-87.68664682
547,15,12,4,0,41.797394748,-87.68427296
548,14,12,10,0,41.798891999,-87.68798745
549,3,12,11,0,41.809500465,-87.6162064
550,4,12,8,0,41.809522053,-87.59941065
551,20,12,2,0,41.780521025,-87.6058695
552,22,12,22,0,41.807477507,-87.74697397
553,22,12,14,0,41.802171917,-87.74918495
554,22,12,15,0,41.80222302,-87.74552254
555,22,12,29,0,41.805656725,-87.74691918
556,12,12,1,0,41.832386057,-87.67056569
557,34,12,15,0,41.699617386,-87.63670475
558,34,12,18,0,41.697931787,-87.64207293
559,34,12,1,0,41.697929747,-87.6422403
560,18,12,2,0,41.761193282,-87.68065707
561,18,12,18,0,41.761161968,-87.68321316
562,18,12,19,0,41.761120283,-87.68565224
563,18,12,12,0,41.761080381,-87.68810168
564,18,12,8,0,41.761040954,-87.69054647
565,34,12,6,0,41.712931012,-87.64921576
566,34,12,10,0,41.688823977,-87.64278458
567,13,12,9,0,41.78158703,-87.76416235
568,3,12,48,0,41.81847709,-87.62137966
569,6,12,3,0,41.7606985,-87.64322296
570,14,12,8,0,41.800999165,-87.68804569
571,6,12,4,1,41.749749919,-87.6198803
572,20,12,3,1,41.780339275,-87.60278317
573,14,12,3,1,41.803817222,-87.7392378
574,28,12,16,1,41.878611799,-87.75267299
575,22,12,16,1,41.805909886,-87.74316708
576,11,12,8,1,41.857547746,-87.64392609
577,12,12,22,1,41.833977778,-87.67137467
578,12,12,27,1,41.833074064,-87.67107007
579,12,12,3,1,41.82365613,-87.67007789
580,22,12,22,1,41.8063786,-87.74449074
581,15,12,19,1,41.801550844,-87.68353379
582,14,12,1,2,41.800704275,-87.72043386
583,28,12,4,2,41.886462284,-87.71129134
584,22,12,8,2,41.802257871,-87.74306748
585,14,12,1,2,41.79018144,-87.70453981
586,23,12,7,2,41.79333939,-87.72158333
587,18,12,1,2,41.741735637,-87.6994542
588,18,12,2,2,41.741519924,-87.69925269
589,18,12,3,2,41.744411397,-87.69141008
590,34,12,29,2,41.712208704,-87.64817106
591,34,12,33,2,41.713103684,-87.64678765
592,6,12,17,5,41.766799159,-87.64553008
593,48,12,2,5,41.998034012,-87.66478644
594,6,12,5,5,41.766586798,-87.60575375
595,39,12,2,3,41.959969123,-87.73117019
596,6,12,2,7,41.767900224,-87.61517033
597,20,12,4,6,41.78373508,-87.62070737
598,28,12,4,6,41.863220226,-87.66644157
599,23,12,4,6,41.788897617,-87.79130569
600,6,12,3,6,41.76875681,-87.64276962
601,28,12,17,6,41.859662581,-87.66395509
602,39,12,1,6,41.957431618,-87.72618681
603,41,12,1,8,41.980523781,-87.81262271
604,34,12,13,7,41.69875039,-87.63154775
605,34,12,9,7,41.69249972,-87.63947849
